images id,defect_flag
000957.png,0
000963.png,0
000965.png,1
000967.png,0
000964.png,0
000968.png,1
000966.png,0
000969.png,1
000974.png,0
000972.png,1
000973.png,1
000971.png,0
000975.png,0
000970.png,0
000977.png,0
000981.png,0
000979.png,0
000976.png,0
000978.png,0
000980.png,1
000986.png,0
000982.png,0
000985.png,1
000987.png,1
000983.png,1
000988.png,1
000984.png,0
000991.png,0
000992.png,1
000989.png,1
000994.png,0
000993.png,0
000995.png,0
000990.png,0
001000.png,0
000996.png,0
001001.png,1
000997.png,1
000999.png,0
000998.png,0
001002.png,0
001003.png,0
001005.png,1
001006.png,1
001004.png,0
001007.png,0
001008.png,0
001009.png,0
001011.png,0
001013.png,0
001010.png,1
001012.png,0
001014.png,0
001016.png,0
001018.png,0
001019.png,0
001020.png,1
001017.png,0
001015.png,1
001025.png,0
001022.png,0
001026.png,0
001023.png,1
001021.png,1
001024.png,1
001031.png,0
001030.png,0
001028.png,0
001029.png,1
001027.png,0
001037.png,0
001036.png,0
001033.png,1
001034.png,0
001032.png,0
001035.png,1
001038.png,1
001043.png,1
001039.png,0
001041.png,1
001042.png,1
001040.png,0
001050.png,0
001045.png,1
001044.png,0
001047.png,0
001049.png,0
001048.png,1
001046.png,1
001051.png,1
001052.png,0
001054.png,0
001055.png,1
001053.png,0
001056.png,1
001058.png,0
001059.png,0
001060.png,1
001061.png,0
001057.png,0
001062.png,0
001064.png,0
001067.png,0
001065.png,1
001063.png,0
001066.png,0
001068.png,0
001069.png,1
001071.png,1
001074.png,1
001072.png,0
001073.png,0
001070.png,0
001075.png,0
001080.png,1
001079.png,1
001076.png,0
001081.png,1
001078.png,0
001077.png,0
001082.png,0
001087.png,0
001086.png,0
001083.png,1
001085.png,1
001084.png,0
001088.png,1
001094.png,0
001093.png,0
001091.png,0
001090.png,0
001089.png,0
001092.png,1
001095.png,0
001099.png,1
001098.png,0
001096.png,0
001097.png,1
001100.png,1
000001.png,1
000002.png,0
000003.png,0
000004.png,0
000005.png,1
000006.png,0
000008.png,0
000009.png,1
000010.png,1
000011.png,0
000012.png,0
000013.png,0
000014.png,1
000015.png,0
000016.png,0
000017.png,0
000018.png,1
000019.png,1
000020.png,1
000021.png,0
000022.png,0
000023.png,0
000024.png,0
000025.png,0
000026.png,1
000027.png,1
000028.png,1
000029.png,0
000030.png,0
000031.png,0
000032.png,1
000033.png,0
000034.png,0
000035.png,0
000036.png,0
000037.png,1
000038.png,0
000039.png,1
000040.png,0
000041.png,1
000042.png,0
000043.png,0
000044.png,0
000045.png,1
000046.png,1
000047.png,0
000048.png,1
000049.png,0
000050.png,1
000051.png,0
000052.png,0
000053.png,0
000054.png,1
000055.png,1
000056.png,0
000057.png,1
000058.png,0
000059.png,1
000060.png,0
000061.png,0
000062.png,1
000063.png,0
000064.png,1
000065.png,0
000066.png,1
000067.png,0
000068.png,1
000069.png,1
000070.png,0
000071.png,1
000072.png,1
000073.png,0
000074.png,0
000075.png,0
000076.png,0
000077.png,1
000078.png,1
000079.png,0
000080.png,1
000081.png,1
000082.png,0
000083.png,0
000084.png,0
000085.png,1
000086.png,1
000087.png,0
000088.png,0
000089.png,0
000090.png,0
000091.png,1
000092.png,0
000093.png,0
000094.png,0
000095.png,0
000096.png,0
000097.png,0
000098.png,1
000099.png,0
000100.png,1
000101.png,0
000102.png,0
000103.png,1
000104.png,1
000105.png,0
000106.png,0
000107.png,1
000108.png,1
000109.png,0
000110.png,0
000111.png,0
000112.png,1
000113.png,1
000114.png,0
000115.png,0
000116.png,0
000117.png,1
000118.png,0
000119.png,1
000120.png,0
000121.png,0
000122.png,1
000123.png,0
000124.png,0
000125.png,1
000126.png,0
000127.png,1
000128.png,1
000129.png,0
000130.png,1
000131.png,1
000132.png,0
000133.png,0
000134.png,0
000135.png,0
000136.png,1
000137.png,0
000138.png,0
000139.png,0
000140.png,1
000141.png,0
000142.png,0
000143.png,0
000144.png,1
000145.png,1
000146.png,1
000147.png,0
000148.png,0
000149.png,1
000150.png,0
000151.png,0
000152.png,0
000153.png,0
000154.png,0
000155.png,0
000156.png,0
000157.png,0
000158.png,1
000159.png,0
000160.png,1
000161.png,0
000162.png,0
000163.png,0
000164.png,0
000165.png,0
000166.png,0
000167.png,0
000168.png,0
000169.png,0
000170.png,0
000171.png,0
000172.png,1
000173.png,0
000174.png,0
000175.png,0
000176.png,1
000177.png,1
000178.png,0
000179.png,0
000180.png,1
000181.png,1
000182.png,0
000183.png,0
000184.png,1
000185.png,1
000186.png,1
000187.png,0
000188.png,0
000189.png,0
000190.png,1
000191.png,0
000192.png,0
000193.png,1
000194.png,1
000195.png,1
000196.png,0
000197.png,0
000198.png,0
000199.png,1
000200.png,0
000201.png,1
000202.png,0
000203.png,1
000204.png,0
000205.png,0
000206.png,0
000207.png,1
000208.png,1
000209.png,0
000210.png,0
000211.png,0
000212.png,0
000213.png,1
000214.png,0
000215.png,0
000216.png,0
000217.png,0
000218.png,0
000219.png,1
000220.png,0
000221.png,0
000222.png,0
000223.png,0
000224.png,0
000225.png,0
000226.png,0
000227.png,0
000228.png,1
000229.png,1
000230.png,1
000231.png,0
000232.png,1
000233.png,0
000234.png,1
000235.png,0
000236.png,0
000237.png,1
000238.png,0
000239.png,0
000240.png,1
000241.png,0
000242.png,0
000243.png,1
000244.png,1
000245.png,0
000246.png,0
000247.png,0
000248.png,0
000249.png,1
000250.png,0
000251.png,0
000252.png,1
000253.png,1
000254.png,0
000255.png,0
000256.png,0
000257.png,0
000258.png,1
000259.png,0
000260.png,0
000261.png,1
000262.png,0
000263.png,1
000264.png,1
000265.png,0
000266.png,0
000267.png,1
000268.png,0
000269.png,0
000270.png,0
000271.png,0
000272.png,1
000273.png,0
000274.png,0
000275.png,0
000276.png,1
000277.png,0
000278.png,0
000279.png,0
000280.png,0
000281.png,1
000282.png,0
000283.png,0
000284.png,0
000285.png,0
000286.png,0
000287.png,0
000288.png,0
000289.png,0
000290.png,1
000291.png,0
000292.png,1
000293.png,1
000294.png,0
000295.png,1
000296.png,1
000297.png,0
000298.png,0
000299.png,0
000300.png,0
000301.png,0
000302.png,0
000303.png,1
000304.png,1
000305.png,0
000306.png,0
000307.png,0
000308.png,1
000309.png,0
000310.png,0
000311.png,0
000312.png,0
000313.png,1
000314.png,0
000315.png,0
000316.png,1
000317.png,1
000318.png,0
000319.png,0
000320.png,0
000321.png,0
000322.png,0
000323.png,0
000324.png,0
000325.png,0
000326.png,0
000327.png,1
000328.png,1
000329.png,0
000330.png,1
000331.png,1
000332.png,0
000333.png,0
000334.png,0
000335.png,1
000336.png,1
000337.png,0
000338.png,0
000339.png,0
000340.png,1
000341.png,0
000342.png,0
000343.png,0
000344.png,1
000345.png,1
000346.png,0
000347.png,0
000348.png,0
000349.png,1
000350.png,0
000351.png,0
000352.png,0
000353.png,1
000354.png,1
000355.png,0
000356.png,0
000357.png,1
000358.png,1
000359.png,1
000360.png,0
000361.png,0
000362.png,1
000363.png,1
000364.png,0
000365.png,0
000366.png,0
000367.png,1
000368.png,1
000369.png,0
000370.png,0
000371.png,1
000372.png,0
000373.png,0
000374.png,0
000375.png,0
000376.png,0
000377.png,1
000378.png,0
000379.png,0
000380.png,0
000381.png,1
000382.png,1
000383.png,1
000384.png,1
000385.png,0
000386.png,1
000387.png,0
000388.png,1
000389.png,0
000390.png,0
000391.png,1
000392.png,0
000393.png,0
000394.png,0
000395.png,1
000396.png,0
000397.png,0
000398.png,0
000399.png,0
000400.png,0
000401.png,0
000402.png,0
000403.png,1
000404.png,1
000405.png,0
000406.png,0
000407.png,0
000408.png,0
000409.png,1
000410.png,0
000411.png,0
000412.png,0
000413.png,1
000414.png,0
000415.png,1
000416.png,0
000417.png,0
000418.png,1
000419.png,0
000420.png,0
000421.png,0
000422.png,0
000423.png,1
000424.png,1
000425.png,0
000426.png,1
000427.png,1
000428.png,0
000429.png,0
000430.png,0
000431.png,0
000432.png,1
000433.png,0
000434.png,1
000435.png,1
000436.png,1
000437.png,0
000438.png,0
000439.png,0
000440.png,0
000441.png,1
000442.png,0
000443.png,1
000444.png,0
000445.png,0
000446.png,1
000447.png,0
000448.png,0
000449.png,1
000450.png,0
000451.png,0
000452.png,0
000453.png,0
000454.png,0
000455.png,1
000456.png,1
000457.png,0
000458.png,0
000459.png,1
000460.png,0
000461.png,0
000462.png,0
000463.png,1
000464.png,1
000465.png,0
000466.png,0
000467.png,0
000468.png,1
000469.png,0
000470.png,0
000471.png,0
000472.png,0
000473.png,1
000474.png,0
000475.png,1
000476.png,0
000477.png,0
000478.png,1
000479.png,1
000480.png,0
000481.png,0
000482.png,1
000483.png,0
000484.png,0
000485.png,1
000486.png,0
000487.png,1
000488.png,0
000489.png,0
000490.png,0
000491.png,1
000492.png,0
000493.png,0
000494.png,0
000495.png,1
000496.png,1
000497.png,0
000498.png,0
000499.png,1
000500.png,0
000501.png,0
000502.png,0
000503.png,0
000504.png,0
000505.png,1
000506.png,0
000507.png,1
000508.png,0
000509.png,0
000510.png,0
000511.png,0
000512.png,0
000513.png,0
000514.png,1
000515.png,0
000516.png,0
000517.png,0
000518.png,0
000519.png,1
000520.png,1
000521.png,0
000522.png,1
000523.png,1
000524.png,0
000525.png,0
000526.png,0
000527.png,1
000528.png,1
000529.png,0
000530.png,0
000531.png,0
000532.png,1
000533.png,0
000534.png,0
000535.png,0
000536.png,0
000537.png,1
000538.png,0
000539.png,0
000540.png,0
000541.png,0
000542.png,1
000543.png,0
000544.png,1
000545.png,0
000546.png,0
000547.png,0
000548.png,0
000549.png,0
000550.png,1
000551.png,1
000552.png,1
000553.png,0
000554.png,0
000555.png,1
000556.png,0
000557.png,0
000558.png,0
000559.png,1
000560.png,1
000561.png,1
000562.png,0
000563.png,0
000564.png,1
000565.png,0
000566.png,0
000567.png,1
000568.png,0
000569.png,1
000570.png,0
000571.png,1
000572.png,0
000573.png,1
000574.png,0
000575.png,0
000576.png,0
000577.png,0
000578.png,1
000579.png,0
000580.png,0
000581.png,1
000582.png,1
000583.png,1
000584.png,0
000585.png,1
000586.png,0
000587.png,1
000588.png,0
000589.png,0
000590.png,1
000591.png,0
000592.png,1
000593.png,1
000594.png,0
000598.png,1
000596.png,1
000597.png,0
000595.png,0
000603.png,1
000602.png,0
000604.png,0
000599.png,0
000601.png,1
000600.png,1
000606.png,1
000610.png,1
000611.png,0
000605.png,1
000609.png,1
000608.png,0
000607.png,0
000618.png,0
000615.png,1
000616.png,1
000613.png,0
000612.png,0
000617.png,0
000614.png,0
000620.png,0
000621.png,0
000623.png,1
000622.png,0
000619.png,1
000624.png,1
000627.png,0
000625.png,0
000628.png,0
000626.png,0
000630.png,0
000629.png,0
000635.png,0
000631.png,0
000634.png,0
000637.png,0
000633.png,1
000636.png,1
000632.png,0
000638.png,1
000641.png,1
000642.png,1
000640.png,0
000644.png,0
000643.png,0
000639.png,0
000647.png,1
000648.png,0
000646.png,0
000645.png,1
000649.png,1
000650.png,1
000652.png,0
000651.png,1
000653.png,0
000655.png,0
000656.png,0
000654.png,0
000661.png,0
000662.png,0
000659.png,0
000657.png,0
000660.png,1
000658.png,0
000668.png,0
000664.png,0
000665.png,1
000663.png,0
000669.png,0
000666.png,0
000667.png,0
000670.png,1
000672.png,0
000675.png,0
000673.png,1
000674.png,1
000671.png,0
000678.png,1
000677.png,0
000680.png,0
000679.png,0
000681.png,0
000676.png,0
000684.png,0
000683.png,1
000686.png,0
000687.png,1
000685.png,0
000682.png,1
000688.png,1
000689.png,0
000693.png,0
000694.png,1
000690.png,1
000691.png,1
